nameWithOwner;url;primaryLanguage->name;stargazers->totalCount;createdAt (UTC);repositoryAge (years);repositoryAge (days);releases->totalCount;releases/repositoryAge(days);watchers->totalCount;forks->totalCount;Total SLOC;Total linhas em branco;Total linhas comentários;Total LOC
alibaba/Sentinel;https://github.com/alibaba/Sentinel;Java;13897;04/04/18 06:37:33;2;916;16;0.017467248908296942;736;4619;83274;12270;178;95561
brettwooldridge/HikariCP;https://github.com/brettwooldridge/HikariCP;Java;13824;08/10/13 05:43:03;6;2555;0;0.0;738;2093;16522;2702;37;19224
signalapp/Signal-Android;https://github.com/signalapp/Signal-Android;Java;13806;15/12/11 20:01:12;8;3218;0;0.0;758;3289;206462;48248;292;254724
oracle/graal;https://github.com/oracle/graal;Java;13667;14/01/16 17:11:35;4;1727;32;0.018529241459177764;471;968;1318896;173754;7371;1492707
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition;https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition;Java;13569;24/11/12 00:14:41;7;2874;0;0.0;179;588;2125;496;0;2621
JeffLi1993/springboot-learning-example;https://github.com/JeffLi1993/springboot-learning-example;Java;13547;06/02/17 07:02:25;3;1338;0;0.0;1009;6415;1531;413;0;1944
openzipkin/zipkin;https://github.com/openzipkin/zipkin;Java;13467;06/06/12 18:26:16;8;3044;60;0.01971090670170828;715;2496;55892;8948;380;64905
hdodenhof/CircleImageView;https://github.com/hdodenhof/CircleImageView;Java;13440;17/01/14 16:44:46;6;2454;0;0.0;412;2944;419;107;1;526
lgvalle/Material-Animations;https://github.com/lgvalle/Material-Animations;Java;13434;08/03/15 20:54:00;5;2039;0;0.0;538;2477;1046;195;0;1241
react-native-community/lottie-react-native;https://github.com/react-native-community/lottie-react-native;Java;13418;27/01/17 18:24:50;3;1348;0;0.0;258;1378;507;83;0;590
LMAX-Exchange/disruptor;https://github.com/LMAX-Exchange/disruptor;Java;13027;21/09/12 13:42:24;8;2937;10;0.0034048348655090228;1352;3162;18907;2933;146;21840
orhanobut/logger;https://github.com/orhanobut/logger;Java;12478;20/03/15 22:30:12;5;2027;16;0.007893438579181056;379;1867;1085;230;0;1315
alibaba/ARouter;https://github.com/alibaba/ARouter;Java;12423;14/12/16 01:27:49;3;1393;15;0.010768126346015794;364;2128;2903;460;8;3363
apache/rocketmq;https://github.com/apache/rocketmq;Java;12397;30/11/16 08:00:08;3;1406;0;0.0;869;6360;117722;19954;90;137725
Tencent/QMUI_Android;https://github.com/Tencent/QMUI_Android;Java;12245;21/04/17 10:03:18;3;1264;33;0.02610759493670886;318;2317;40298;6077;60;46377
greenrobot/greenDAO;https://github.com/greenrobot/greenDAO;Java;12214;22/10/11 16:15:14;8;3272;8;0.0024449877750611247;547;2769;24613;4560;209;29173
apache/shardingsphere;https://github.com/apache/shardingsphere;Java;12161;18/01/16 12:49:26;4;1723;42;0.024376088218224026;977;3888;3242;548;0;3790
Bigkoo/Android-PickerView;https://github.com/Bigkoo/Android-PickerView;Java;12148;28/12/14 01:46:38;5;2110;0;0.0;312;3050;316;89;0;405
dyc87112/SpringBoot-Learning;https://github.com/dyc87112/SpringBoot-Learning;Java;12134;21/08/16 03:39:06;4;1507;0;0.0;721;3941;2729;904;0;3633
facebook/stetho;https://github.com/facebook/stetho;Java;12053;22/01/15 22:34:10;5;2084;12;0.005758157389635317;390;1069;22358;4042;130;26404
Curzibn/Luban;https://github.com/Curzibn/Luban;Java;12032;24/07/16 07:43:21;4;1535;6;0.003908794788273616;353;1977;996;186;3;1182
